"cpf","sexo","salario","estado","poupanca","altura","peso","total.emprestimo","financiamento"
741132012,"M",5124,"MA",-1000,1.93,85.62,0,"S"
246313939,"F",4772.45,"SP",15012.9,1.84,99.12,NA,"S"
431872706,"F",5001.8,"BA",0,1.66,104.39,0,"N"
127070574,"F",5279.32,"DF",0,1.73,72.57,0,"S"
620680270,"M",5327.52,"RS",8172.68,2.05,97.89,0,"S"
939260407,"M",5229.73,"SE",0,1.69,74.25,0,"S"
510705513,"F",5170.99,"RS",17959.28,1.99,83.9,517.1,"S"
907620891,"F",5500.6,"SE",7301.42,1.89,89.12,550.06,"N"
712737953,"M",5742.47,"RN",15308.46,1.66,81.96,0,"N"
804118559,"F",5848.09,"AL",3509.81,1.74,57.5,0,"S"
957045196,"M",5427.6,"PA",0,2.05,65.74,542.76,"N"
771535812,"F",5694.42,"MA",0,1.99,86.27,0,"S"
132054837,"M",5369.31,"BA",0,1.43,114.24,0,"S"
294936759,"M",5475.39,"AP",775.05,2.03,106.5,0,"S"
169291134,"M",5773.2,"MG",0,2.04,102.66,0,"S"
310543643,"M",25375.15,"PE",0,1.96,85.35,0,"S"
654727705,"F",5321.66,"RN",0,1.72,101.38,0,"S"
821755078,"F",5675.92,"PR",18969.42,2.04,93.66,567.59,"S"
542794211,"F",5464.73,"ES",5672.81,1.41,98.18,546.47,"N"
277024542,"F",5419.74,"AC",0,11.4,103.79,0,"S"
690372681,"M",5267.19,"SP",17175.32,1.59,90.19,0,"N"
206845266,"F",5140.25,"PI",19110.45,1.49,82.65,0,"N"
308950890,"F",4730.89,"BA",0,1.41,102.46,473.09,"N"
690228253,"F",4979.47,"SP",0,1.68,97.13,0,"N"
209782108,"M",4581.44,"RJ",889.77,1.41,81.51,458.14,"N"
758709023,"F",4375.73,"RR",639.27,2.08,86.46,437.57,"N"
353233478,"M",4731.27,"RN",0,1.9,61.78,0,"N"
323449168,"F",4555.23,"MS",0,1.89,123.39,455.52,NA
703915194,"M",4745.18,"TO",0,1.81,103.48,0,"N"
374687707,"M",4537.38,"MT",0,1.8,64.55,453.74,"N"
865698613,"M",4288.76,"BA",0,2.05,95.5,0,"N"
833044798,"M",4288.66,"CE",NA,1.91,59.86,0,"N"
423655927,"M",4250.87,"GO",12639.29,1.65,85.69,0,"S"
731648039,"F",4265.47,"AC",NA,1.76,112.75,0,"N"
935355589,"F",4179.23,"DF",0,1.78,72.1,417.92,"N"
170581812,"M",4467.08,"DF",7699.07,1.54,98.35,0,"N"
290433171,"M",NA,"MT",0,1.7,96.42,419.16,"N"
454508088,"F",24305.71,"RJ",0,1.68,101.55,0,"N"
972308303,"M",4549.36,"ES",0,1.43,57.06,0,"N"
719484807,"M",4333.91,"RO",1053.42,1.41,104.73,0,"N"
338574370,"M",4639.19,"BA",0,1.87,110.48,0,"N"
908006788,"M",4920.29,"PB",0,1.93,82.07,0,"N"
490455611,"F",4607.93,"MS",0,2.06,123.9,460.79,"N"
695769198,"M",5033.02,"SP",0,1.72,77.64,503.3,"N"
821260949,"F",24657.76,"PA",0,2.07,66.31,0,"N"
971529778,"M",4873.65,"MT",19528.88,1.47,84.72,0,"S"
313671586,"M",5192.6,"SP",0,1.44,99.48,0,"S"
674488404,"F",5599.36,"DF",0,1.47,104.74,0,"S"
677036139,"M",5094.26,"SP",0,1.57,122.53,509.43,"N"
19593779,"M",5099.48,"PR",14417.65,1.97,87,0,"S"
899587269,"F",5583.79,"BA",0,1.4,117.63,0,"S"
965556389,"M",5257.73,"AC",0,1.67,61.96,0,"S"
575790429,"F",5722.35,"PE",0,11.98,121.01,0,"S"
441743536,"M",6000,"RR",0,1.97,108.08,600,"N"
343756428,"M",5893.19,"SE",0,1.93,93.87,0,"S"
810285594,"M",5750.21,"RN",0,1.5,101.21,0,"S"
770695858,"M",5341.83,"TO",0,2.01,109.48,0,"S"
52944409,"F",5842.01,"TO",11668.88,1.48,111.08,584.2,"S"
365470190,"M",5550.6,"MT",0,1.96,112.7,0,"S"
383993770,"M",5927.6,"MS",6643.78,1.7,84.13,0,"S"
184176072,"M",5498.77,"TO",3186.53,1.48,89.78,549.88,"N"
426212810,"F",5714.42,"MS",0,2.02,126.08,0,"S"
566468242,"M",5692.03,"SC",16103.95,1.96,129.82,569.2,"S"
963374868,"M",5410.85,"SC",1606.89,1.62,62.35,0,"S"
449705772,"M",5162.8,"AP",30.59,1.74,80.87,0,"S"
890133906,"F",5458.59,"ES",0,1.62,75.15,545.86,"N"
213538773,"M",4971.1,"AC",0,1.92,63.63,0,"N"
409567317,"F",5151.26,"MS",0,11.7,65.35,0,"S"
612600386,"F",4539.48,"SP",9957.51,1.53,112.82,453.95,"N"
180209820,"M",4532.85,"CE",0,1.8,68.93,453.29,"N"
328729127,"M",4543.84,"PA",2690.85,1.77,85.23,454.38,NA
318605140,"F",4219.55,"SE",0,1.45,120.34,421.96,"N"
654451053,"F",4582.75,"RS",NA,2.09,92.72,0,"S"
361580322,"F",4110.32,"TO",0,1.85,102,411.03,"N"
663804084,"M",4267.99,"RS",5750.3,1.64,85.54,426.8,"N"
147902757,"F",4653.49,"CE",9095.98,1.66,75.05,0,"N"
795576658,"F",4622.68,"ES",0,1.84,105.52,NA,"N"
78936533,"M",4332.89,"MA",0,1.47,79.73,0,"N"
602665483,"M",4127.04,"TO",13285.84,2,61.35,412.7,"N"
